Date,price,market_cap,total_volume,r_price,d_r_price,Event,Positive Event,Negative Event,Positive Event Days Elapsed
2023-03-22,28264.2396105223,545917428270.105,34430928756.2718,0.01192580640712256,0.02110952166007287,0,0,0,34
2023-03-23,27449.2548308073,530515158753.954,35394833933.5018,-0.02925836643963627,-0.04118417284675883,0,0,0,35
2023-03-24,28459.7351135525,549578396178.634,20360807194.5634,0.03615126412577465,0.06540963056541091,0,0,0,36
2023-03-25,27595.4947483755,533634255119.375,21551272690.4136,-0.03083775964965181,-0.06698902377542645,0,0,0,37
2023-03-26,27670.1994984968,534960802333.31,15053754845.3138,0.002703478048704929,0.03354123769835674,0,0,0,38
2023-03-27,28048.4699785349,542675619058.779,14450374261.0637,0.01357808056799748,0.01087460251929255,0,0,0,39
2023-03-28,27182.2995599504,525230880103.138,18519053231.6372,-0.03136807426232047,-0.04494615483031794,0,0,0,40
2023-03-29,27291.3500210497,528042785008.982,17658503318.9104,0.004003792938954863,0.03537186720127533,0,0,0,41
2023-03-30,28394.997780199,548808373530.056,21097595427.4895,0.03964319221577146,0.03563939927681659,0,0,0,42
2023-03-31,28041.1230800882,542369769760.287,22702531379.3504,-0.01254088100443858,-0.05218407322021004,0,0,0,43
2023-04-01,28516.7847296886,551707238559.875,19112345639.9621,0.0168207376533765,0.02936161865781509,0,0,0,44
2023-04-02,28498.9446330486,550949831049.394,10085380788.8709,-0.0006257956329458316,-0.01744653328632234,0,0,0,45
2023-04-03,28236.5087389397,545181408318.22,11682876586.8145,-0.0092512794116869,-0.008625483778741068,0,0,0,46
2023-04-04,27815.4265312479,539350908801.928,19711493345.476,-0.01502499877165273,-0.005773719359965832,0,0,0,47
2023-04-05,28175.3303342153,544313567953.4,14871614372.831,0.01285600624404901,0.02788100501570175,0,0,0,48
2023-04-06,28197.2003412455,545409754928.526,16507617903.8139,0.000775910106052057,-0.01208009613799696,0,0,0,49
2023-04-07,28042.9833864884,542601176317.444,13079528995.1399,-0.005484240308817312,-0.00626015041486937,0,0,0,50
2023-04-08,27934.4387128489,540432353743.323,10141276803.8939,-0.003878163931554649,0.001606076377262663,0,0,0,51
2023-04-09,27968.1280470551,541094458101.447,8844199146.1801,0.00120528770814109,0.005083451639695739,0,0,0,52
2023-04-10,28351.2369938501,548568597244.197,11429030269.7316,0.01360508435776553,0.01239979664962444,0,0,0,53
2023-04-11,29657.9741368735,574059578670.365,17475381731.2518,0.04506036934505043,0.0314552849872849,0,0,0,54
2023-04-12,30260.9361094086,585359301945.259,18320296514.7776,0.02012661191370383,-0.0249337574313466,0,0,0,55
2023-04-13,29904.1386947189,578850627447.61,18407698928.0665,-0.01186075471932051,-0.03198736663302433,0,0,0,56
2023-04-14,30405.0273127811,587939018759.422,16404033694.4737,0.01661107816932528,0.02847183288864579,0,0,0,57
2023-04-15,30468.4087005907,589051372432.549,20984067684.2162,0.002082399643073684,-0.0145286785262516,0,0,0,58
2023-04-16,30312.1618796592,586969785778.092,11028264273.1467,-0.005141352363722872,-0.007223752006796556,0,0,0,59
2023-04-17,30304.8075147858,586268225587.867,11188035367.077,-0.0002426503661584073,0.004898701997564465,0,0,0,60
2023-04-18,29467.4598292603,569958059900.519,16771824487.5793,-0.02801976588804828,-0.02777711552188987,0,0,0,61
2023-04-19,30365.9041675414,587730212230.956,18078539248.521,0.03003380764605591,0.05805357353410419,0,0,0,62
2023-04-20,28833.2175012211,558796473890.595,24136616861.6363,-0.05179229757890533,-0.08182610522496124,1,0,1,63
2023-04-21,28255.5782486647,546141074655.376,21695904964.799,-0.020237209733476,0.03155508784542933,0,0,0,64
2023-04-22,27300.1571285155,528357279464.012,20420333533.7141,-0.03439844043185947,-0.01416123069838347,0,0,0,65
2023-04-23,27861.6406634765,539454716829.936,11700230849.9681,0.02035839839212869,0.05475683882398816,0,0,0,66
2023-04-24,27606.5783476531,533753154140.255,11435645306.7716,-0.009196765937071768,-0.02955516432920046,0,0,0,67
2023-04-25,27511.6356821613,532290845181.533,16443099944.6473,-0.003445059353416381,0.005751706583655387,0,0,0,68
2023-04-26,28351.218248373,548359667398.652,17061823985.8653,0.0300609700751487,0.03350602942856508,0,0,0,69
2023-04-27,28352.1913205966,548638734338.367,30540034741.2847,3.432147135760065e-05,-0.0300266486037911,0,0,0,70
2023-04-28,29483.5217049918,570258039118.577,26238597379.4995,0.03912719856110178,0.03909287708974418,0,0,0,71
2023-04-29,29339.9949975493,568153896404.974,18730801539.1815,-0.004879918791398628,-0.0440071173525004,0,0,0,72
2023-04-30,29217.9440468099,565714356650.662,9711415138.82715,-0.004168559531636131,0.000711359259762497,0,0,0,73
2023-05-01,29362.0562136253,568513467268.412,14707008604.647,0.004920193134191756,0.009088752665827888,0,0,0,74
2023-05-02,28125.5011556368,544421676291.2,19980169281.0089,-0.04302655658511821,-0.04794674971930997,0,0,0,75
2023-05-03,28654.3901333267,554886795897.936,17699097406.1888,0.01862998546374156,0.06165654204885977,0,0,0,76
2023-05-04,28988.3209962492,561312171794.58,19944381490.56,0.01158635990735067,-0.007043625556390889,0,0,0,77
2023-05-05,28846.461458608,558634329303.22,12676760580.0801,-0.004905692253582791,-0.01649205216093346,0,0,0,78
2023-05-06,29520.3222689704,571520224182.882,4971523630.54862,0.02309158429279828,0.02799727654638107,0,0,0,79
2023-05-07,28887.7410455233,559078681902.607,6463808309.43892,-0.02166159679287192,-0.0447531810856702,0,0,0,80
2023-05-08,28611.4391976145,554373015261.668,10199066943.1703,-0.00961071004743808,0.01205088674543384,0,0,0,81
2023-05-09,27696.7607856255,536032086472.038,21535578788.8602,-0.03249114259463028,-0.0228804325471922,0,0,0,82
2023-05-10,27607.391680919,535037100026.69,8876813250.93355,-0.003231915815037317,0.02925922677959296,0,0,0,83
2023-05-11,27639.7335659358,534937464538.758,17159331951.1898,0.001170808021839571,0.004402723836876888,0,0,0,84
2023-05-12,27024.7657292997,523414877659.307,7754296234.07717,-0.02250066459344838,-0.02367147261528795,0,0,0,85
2023-05-13,26787.6903959183,518816444750.77,9157286238.19307,-0.008811226406761078,0.01368943818668731,0,0,0,86
2023-05-14,26798.1262714747,520426027097.336,8365379054.20211,0.0003895014142682694,0.009200727821029347,0,0,0,87
2023-05-15,26911.8052732138,521319019334.696,6019488454.41968,0.004233078249045045,0.003843576834776776,0,0,0,88
2023-05-16,27227.7934225587,527655229433.886,14570026781.747,0.01167322052995694,0.007440142280911892,0,0,0,89
2023-05-17,27022.7131739211,523965691858.865,12927093920.9029,-0.007560527574594785,-0.01923374810455172,0,0,0,90
2023-05-18,27389.9715114422,530762551513.487,12580626234.9134,0.01349920213290525,0.02105972970750004,0,0,0,91
2023-05-19,26842.9524947179,520544913836.41,12599487111.9387,-0.02017363358393813,-0.03367283571684338,0,0,0,92
2023-05-20,26884.3710595899,521153640362.961,11559136131.3687,0.00154180667626372,0.02171544026020185,0,0,0,93
2023-05-21,27093.7911014973,525040003344.162,3882362454.21978,0.007759474731162495,0.006217668054898775,0,0,0,94
2023-05-22,26773.8302436647,519171380714.094,8125825605.68424,-0.01187966398903415,-0.01963913872019664,0,0,0,95
2023-05-23,26869.6860217907,520821915713.918,8025716966.17939,0.003573810474134598,0.01545347446316875,0,0,0,96
2023-05-24,27222.9377466038,527528695688.758,11685763863.3123,0.01306117995714723,0.009487369483012634,0,0,0,97
